QID	Peptide	Unmod Peptide	References	Alignment Score	Min E-Value	Query Start	Query End	Num Identical
8512			[('tr_E7EVU5_E7EVU5_HUMAN', 263, 273), ('tr_E7EW50_E7EW50_HUMAN', 263, 273), ('tr_J3KS51_J3KS51_HUMAN', 263, 273), ('tr_E9PGV6_E9PGV6_HUMAN', 154, 164), ('gi_298919179_ref_NP_001177367.1_', 154, 164), ('sp_O75376-2_NCOR1_HUMAN', 263, 273), ('gi_298919181_ref_NP_001177369.1_', 263, 273), ('sp_O75376_NCOR1_HUMAN', 263, 273), ('gi_22538461_ref_NP_006302.2_', 263, 273)]	132	2.8e-06	3	13	11
8513			[('sp_P98170_XIAP_HUMAN', 282, 297), ('gi_32528299_ref_NP_001158.2_', 282, 297), ('gi_324711009_ref_NP_001191330.1_', 282, 297)]	144	4.5e-07	1	15	14
8515			[('sp_P14314-2_GLU2B_HUMAN', 462, 470), ('gi_48255891_ref_NP_001001329.1_', 462, 470), ('sp_P14314_GLU2B_HUMAN', 465, 473), ('gi_48255889_ref_NP_002734.2_', 465, 473), ('tr_K7ELL7_K7ELL7_HUMAN', 472, 480)]	108	0.0033	1	9	9
324			[('tr_F8VW87_F8VW87_HUMAN', 85, 93), ('##tr_D6REQ2_D6REQ2_HUMAN', 100, 106), ('sp_Q13520_AQP6_HUMAN', 259, 267), ('gi_86792455_ref_NP_001643.2_', 259, 267), ('sp_Q9C0C2-2_TB182_HUMAN', 153, 159), ('##tr_E9PET5_E9PET5_HUMAN', 780, 786), ('##gi_300193049_ref_NP_001177875.1_', 780, 786), ('##sp_Q96PV7_F193B_HUMAN', 860, 866), ('sp_Q9C0C2_TB182_HUMAN', 702, 708), ('gi_110556636_ref_NP_203754.2_', 702, 708)]	84	0.28	2	9	8
8517			[('tr_F5H6T1_F5H6T1_HUMAN', 52, 63), ('sp_P61160_ARP2_HUMAN', 107, 118), ('gi_5031571_ref_NP_005713.1_', 107, 118), ('sp_P61160-2_ARP2_HUMAN', 112, 123), ('gi_53692187_ref_NP_001005386.1_', 112, 123)]	144	7.6e-08	1	12	12
8518			[('sp_P20042_IF2B_HUMAN', 87, 99), ('gi_29826335_ref_NP_003899.2_', 87, 99)]	156	3.1e-08	1	13	13
8520			[('tr_A8K8G0_A8K8G0_HUMAN', 32, 38), ('sp_P51858-2_HDGF_HUMAN', 57, 63), ('gi_186928821_ref_NP_001119523.1_', 57, 63), ('sp_P51858_HDGF_HUMAN', 64, 70), ('gi_4758516_ref_NP_004485.1_', 64, 70), ('tr_Q5SZ07_Q5SZ07_HUMAN', 80, 86), ('gi_186928819_ref_NP_001119522.1_', 80, 86)]	84	0.16	3	9	7
8521			[('tr_B4DUC5_B4DUC5_HUMAN', 256, 264), ('tr_F8W904_F8W904_HUMAN', 417, 425), ('gi_371502112_ref_NP_001243064.1_', 417, 425), ('sp_P55060-3_XPO2_HUMAN', 473, 481), ('sp_P55060_XPO2_HUMAN', 473, 481), ('gi_29029559_ref_NP_001307.2_', 473, 481)]	108	0.0027	3	11	9
330			[('##tr_H0YGH6_H0YGH6_HUMAN', 107, 112), ('sp_Q52LR7_EPC2_HUMAN', 611, 619), ('gi_194272186_ref_NP_056445.3_', 611, 619), ('##sp_P01023_A2MG_HUMAN', 629, 634), ('##gi_66932947_ref_NP_000005.2_', 629, 634)]	72	11.0	7	12	6
8523			[('tr_A6NL94_A6NL94_HUMAN', 56, 65), ('tr_B1AUU8_B1AUU8_HUMAN', 56, 65), ('sp_P42566_EPS15_HUMAN', 56, 65), ('gi_4503593_ref_NP_001972.1_', 56, 65)]	120	4.2e-05	1	10	10
332			[('tr_Q5JXL7_Q5JXL7_HUMAN', 40, 46), ('tr_B4DNE4_B4DNE4_HUMAN', 334, 340), ('tr_G3V1Q4_G3V1Q4_HUMAN', 336, 342), ('gi_339639597_ref_NP_001229885.1_', 353, 359), ('tr_E7EPK1_E7EPK1_HUMAN', 388, 394), ('tr_E7ES33_E7ES33_HUMAN', 388, 394), ('sp_Q16181-2_SEPT7_HUMAN', 388, 394), ('gi_148352329_ref_NP_001011553.2_', 388, 394), ('sp_Q16181_SEPT7_HUMAN', 389, 395), ('gi_148352331_ref_NP_001779.3_', 389, 395)]	84	0.046	1	7	7
15074			[('sp_Q15813_TBCE_HUMAN', 103, 120), ('gi_4507375_ref_NP_003184.1_', 103, 120), ('gi_118442828_ref_NP_001072983.1_', 103, 120), ('tr_B7Z3P1_B7Z3P1_HUMAN', 103, 120)]	96	0.22	3	18	13
8526			[('tr_C9J6B6_C9J6B6_HUMAN', 430, 445), ('tr_C9J2Z7_C9J2Z7_HUMAN', 594, 609), ('tr_C9K073_C9K073_HUMAN', 601, 616), ('tr_C9JF13_C9JF13_HUMAN', 535, 550), ('sp_Q04637-6_IF4G1_HUMAN', 398, 413), ('tr_G5E9S1_G5E9S1_HUMAN', 398, 413), ('gi_302699239_ref_NP_004944.3_', 398, 413), ('sp_Q04637-5_IF4G1_HUMAN', 430, 445), ('gi_38201625_ref_NP_937885.1_', 430, 445), ('tr_E7EX73_E7EX73_HUMAN', 430, 445), ('sp_Q04637-4_IF4G1_HUMAN', 507, 522), ('gi_38201627_ref_NP_937887.1_', 507, 522), ('tr_E9PGM1_E9PGM1_HUMAN', 507, 522), ('sp_Q04637-3_IF4G1_HUMAN', 554, 569), ('tr_E7EUU4_E7EUU4_HUMAN', 554, 569), ('sp_Q04637_IF4G1_HUMAN', 594, 609), ('gi_38201623_ref_NP_937884.1_', 594, 609), ('tr_D3DNT2_D3DNT2_HUMAN', 594, 609), ('gi_302699237_ref_NP_886553.3_', 594, 609), ('tr_E9PFM1_E9PFM1_HUMAN', 601, 616), ('gi_302699245_ref_NP_001181875.1_', 601, 616), ('gi_302699247_ref_NP_001181876.1_', 601, 616)]	132	8.9e-06	1	16	14
15987			[('tr_G3V2W4_G3V2W4_HUMAN', 134, 149), ('tr_G3V2N5_G3V2N5_HUMAN', 178, 193), ('tr_H9KV75_H9KV75_HUMAN', 134, 149), ('sp_P12814-2_ACTN1_HUMAN', 199, 214), ('gi_194097352_ref_NP_001123477.1_', 199, 214), ('sp_P12814_ACTN1_HUMAN', 199, 214), ('gi_4501891_ref_NP_001093.1_', 199, 214), ('sp_P12814-3_ACTN1_HUMAN', 199, 214), ('gi_194097350_ref_NP_001123476.1_', 199, 214), ('tr_B7TY16_B7TY16_HUMAN', 199, 214)]	192	2.4e-12	1	16	16
336			[('tr_E7EUG6_E7EUG6_HUMAN', 243, 250), ('tr_M0QXD6_M0QXD6_HUMAN', 244, 251), ('sp_P35269_T2FA_HUMAN', 328, 335), ('gi_156104891_ref_NP_002087.2_', 328, 335)]	96	0.034	1	8	8
8248			[('sp_Q9NVX0-2_HAUS2_HUMAN', 110, 119), ('sp_Q9NVX0-3_HAUS2_HUMAN', 173, 182), ('gi_194394168_ref_NP_001123919.1_', 173, 182), ('sp_Q9NVX0_HAUS2_HUMAN', 204, 213), ('gi_8922430_ref_NP_060567.1_', 204, 213)]	120	2.5e-05	1	10	10
8530			[('tr_E9PS45_E9PS45_HUMAN', 139, 153), ('tr_E9PN50_E9PN50_HUMAN', 118, 132), ('tr_E9PMD8_E9PMD8_HUMAN', 139, 153), ('tr_E9PM69_E9PM69_HUMAN', 132, 146), ('sp_P17980_PRS6A_HUMAN', 174, 188), ('gi_21361144_ref_NP_002795.2_', 174, 188)]	180	3e-11	1	15	15
339			[('##tr_H7C198_H7C198_HUMAN', 41, 49), ('##tr_F5H5K0_F5H5K0_HUMAN', 264, 269), ('tr_Q8IYG3_Q8IYG3_HUMAN', 353, 360), ('sp_Q16827-2_PTPRO_HUMAN', 353, 360), ('gi_4506323_ref_NP_002839.1_', 353, 360), ('sp_Q16827_PTPRO_HUMAN', 353, 360), ('gi_13677214_ref_NP_109592.1_', 353, 360), ('##sp_P02462-2_CO4A1_HUMAN', 1063, 1068), ('##sp_P02462_CO4A1_HUMAN', 1414, 1419), ('##gi_148536825_ref_NP_001836.2_', 1414, 1419)]	72	7.8	1	9	8
16724			[('tr_B2BD34_B2BD34_HUMAN', 56, 63), ('sp_O75603_GCM2_HUMAN', 306, 311), ('gi_4758420_ref_NP_004743.1_', 306, 311), ('sp_Q7Z434-2_MAVS_HUMAN', 56, 63), ('sp_Q7Z434-3_MAVS_HUMAN', 56, 63), ('tr_H3BP51_H3BP51_HUMAN', 197, 202), ('##tr_F8VZK5_F8VZK5_HUMAN', 182, 189), ('##tr_B4DRM1_B4DRM1_HUMAN', 228, 235), ('sp_Q8NEP3-3_DAAF1_HUMAN', 197, 202), ('##sp_Q9Y3X0_CCDC9_HUMAN', 134, 139), ('##gi_7661690_ref_NP_056418.1_', 134, 139), ('sp_Q7Z434_MAVS_HUMAN', 56, 63), ('gi_83776598_ref_NP_065797.2_', 56, 63), ('##tr_J3KNN7_J3KNN7_HUMAN', 228, 235), ('##sp_Q6NSI8-3_K1841_HUMAN', 329, 336), ('##sp_Q7Z569_BRAP_HUMAN', 228, 235), ('##gi_188497705_ref_NP_006759.3_', 228, 235), ('##sp_Q9H0E3-2_SP130_HUMAN', 80, 92), ('##sp_Q6NSI8-2_K1841_HUMAN', 318, 325), ('##gi_194018431_ref_NP_115895.2_', 318, 325), ('##sp_Q6NSI8_K1841_HUMAN', 329, 336), ('##gi_194018433_ref_NP_001123465.1_', 329, 336), ('sp_Q8NEP3_DAAF1_HUMAN', 197, 202), ('gi_157674358_ref_NP_848547.4_', 197, 202), ('sp_Q7L7X3_TAOK1_HUMAN', 666, 671), ('gi_45439370_ref_NP_065842.1_', 666, 671), ('##sp_Q9H0E3_SP130_HUMAN', 80, 92), ('##gi_19923597_ref_NP_078821.2_', 80, 92), ('##tr_H7BXF5_H7BXF5_HUMAN', 80, 92), ('##sp_Q9H0E3-3_SP130_HUMAN', 80, 92), ('##gi_225579127_ref_NP_001139400.1_', 80, 92)]	72	9.4	16	22	7
16725			[('sp_P54819-4_KAD2_HUMAN', 26, 38), ('tr_G3V213_G3V213_HUMAN', 73, 85), ('tr_F8VZG5_F8VZG5_HUMAN', 73, 85), ('sp_P54819-6_KAD2_HUMAN', 26, 38), ('sp_P54819-3_KAD2_HUMAN', 73, 85), ('sp_P54819-5_KAD2_HUMAN', 73, 85), ('gi_312836806_ref_NP_001186128.1_', 73, 85), ('tr_F8W1A4_F8W1A4_HUMAN', 73, 85), ('sp_P54819-2_KAD2_HUMAN', 73, 85), ('gi_7524346_ref_NP_037543.1_', 73, 85), ('sp_P54819_KAD2_HUMAN', 73, 85), ('gi_4502013_ref_NP_001616.1_', 73, 85)]	156	7e-09	1	13	13
343			[('tr_F8VRY1_F8VRY1_HUMAN', 6, 12), ('tr_F8VZA3_F8VZA3_HUMAN', 6, 12), ('tr_F8VWR1_F8VWR1_HUMAN', 6, 12), ('tr_F8VZ45_F8VZ45_HUMAN', 6, 12), ('sp_Q02878_RL6_HUMAN', 6, 12), ('gi_16753227_ref_NP_000961.2_', 6, 12), ('gi_67189747_ref_NP_001019833.1_', 6, 12)]	84	0.09	1	7	7
8539			[('tr_H3BMQ1_H3BMQ1_HUMAN', 69, 82), ('sp_Q99471-3_PFD5_HUMAN', 94, 107), ('gi_22202637_ref_NP_665904.1_', 94, 107), ('tr_H3BPF6_H3BPF6_HUMAN', 137, 150), ('sp_Q99471_PFD5_HUMAN', 139, 152), ('gi_22202633_ref_NP_002615.2_', 139, 152)]	168	9.3e-10	1	14	14
16732			[('tr_H0YJF5_H0YJF5_HUMAN', 27, 38), ('tr_G3V2J8_G3V2J8_HUMAN', 42, 53), ('sp_Q14568_HS902_HUMAN', 42, 53), ('sp_P07900_HS90A_HUMAN', 42, 53), ('gi_154146191_ref_NP_005339.3_', 42, 53), ('sp_P07900-2_HS90A_HUMAN', 164, 175), ('gi_153792590_ref_NP_001017963.2_', 164, 175)]	144	1.6e-07	1	12	12
8541			[('tr_F5H702_F5H702_HUMAN', 32, 44), ('tr_B4DN34_B4DN34_HUMAN', 113, 125), ('sp_Q96GC5_RM48_HUMAN', 131, 143), ('gi_7706333_ref_NP_057139.1_', 131, 143)]	156	4.3e-09	1	13	13
16734			[('tr_H0YD14_H0YD14_HUMAN', 693, 700), ('sp_Q9NZM1-2_MYOF_HUMAN', 1276, 1283), ('sp_Q9NZM1-6_MYOF_HUMAN', 1305, 1312), ('gi_19718759_ref_NP_579899.1_', 1305, 1312), ('sp_Q9NZM1-3_MYOF_HUMAN', 1318, 1325), ('tr_C9JCN0_C9JCN0_HUMAN', 1318, 1325), ('tr_F8W8J4_F8W8J4_HUMAN', 1318, 1325), ('sp_Q9NZM1_MYOF_HUMAN', 1318, 1325), ('gi_7305053_ref_NP_038479.1_', 1318, 1325)]	96	0.16	1	8	8
10981			[('tr_E5RFH9_E5RFH9_HUMAN', 119, 124), ('##tr_G3V2Z0_G3V2Z0_HUMAN', 105, 110), ('tr_K7EP04_K7EP04_HUMAN', 9, 14), ('tr_Q9HBN7_Q9HBN7_HUMAN', 23, 28), ('sp_O14558_HSPB6_HUMAN', 9, 14), ('gi_21389433_ref_NP_653218.1_', 9, 14), ('gi_410171579_ref_XP_003960326.1_', 59, 64), ('##sp_Q6PF06-3_TM10B_HUMAN', 8, 13), ('##sp_Q8WVR3-2_CG043_HUMAN', 183, 189), ('##sp_Q8WVR3-3_CG043_HUMAN', 186, 192), ('gi_310113645_ref_XP_003119825.1_', 74, 79), ('gi_310118842_ref_XP_003119208.1_', 74, 79), ('gi_410171569_ref_XP_003960325.1_', 74, 79), ('##gi_397138481_ref_XP_003846757.1_', 226, 233), ('##gi_169172911_ref_XP_001716011.1_', 226, 233), ('##gi_169172807_ref_XP_001715602.1_', 266, 273), ('##tr_E9PI22_E9PI22_HUMAN', 268, 275), ('sp_Q8TCJ0-3_FBX25_HUMAN', 52, 57), ('gi_34878757_ref_NP_036305.2_', 52, 57), ('tr_B4DYA3_B4DYA3_HUMAN', 119, 124), ('sp_Q8TCJ0-2_FBX25_HUMAN', 119, 124), ('gi_34878765_ref_NP_904356.1_', 119, 124), ('sp_Q8TCJ0_FBX25_HUMAN', 119, 124), ('gi_34878769_ref_NP_904357.1_', 119, 124), ('##gi_410172314_ref_XP_003960471.1_', 367, 374), ('sp_Q9UPV7_K1045_HUMAN', 30, 36), ('gi_149944593_ref_NP_056112.1_', 30, 36), ('tr_G3XAP3_G3XAP3_HUMAN', 436, 442), ('tr_A5D8W3_A5D8W3_HUMAN', 524, 530), ('sp_Q9NUT2-2_ABCB8_HUMAN', 524, 530), ('gi_156105685_ref_NP_009119.2_', 524, 530), ('sp_Q9NUT2_ABCB8_HUMAN', 541, 547), ('##sp_Q9NU02_ANKE1_HUMAN', 49, 54), ('##gi_38569426_ref_NP_071379.3_', 49, 54), ('##gi_38569428_ref_NP_942093.1_', 49, 54), ('##sp_O15068-3_MCF2L_HUMAN', 1049, 1056), ('##tr_J3KPD4_J3KPD4_HUMAN', 1111, 1118), ('sp_P20702_ITAX_HUMAN', 501, 506), ('gi_34452173_ref_NP_000878.2_', 501, 506), ('tr_H3BN02_H3BN02_HUMAN', 501, 506), ('##sp_O43497-5_CAC1G_HUMAN', 134, 139), ('##gi_38505268_ref_NP_938190.1_', 134, 139), ('##tr_Q19R00_Q19R00_HUMAN', 134, 139), ('##gi_373432604_ref_NP_001243263.1_', 134, 139), ('##tr_Q19R04_Q19R04_HUMAN', 134, 139), ('##gi_373838806_ref_NP_001243262.1_', 134, 139), ('##tr_Q19QZ5_Q19QZ5_HUMAN', 134, 139), ('##gi_373838804_ref_NP_001243261.1_', 134, 139), ('##tr_Q19QZ4_Q19QZ4_HUMAN', 134, 139), ('##gi_373838802_ref_NP_001243260.1_', 134, 139), ('##tr_Q19QZ1_Q19QZ1_HUMAN', 134, 139), ('##gi_373838800_ref_NP_001243259.1_', 134, 139), ('##sp_O43497-3_CAC1G_HUMAN', 134, 139), ('##gi_38505290_ref_NP_938202.1_', 134, 139), ('##gi_373838817_ref_NP_001243290.1_', 134, 139), ('##gi_373838815_ref_NP_001243289.1_', 134, 139), ('##sp_O43497-2_CAC1G_HUMAN', 134, 139), ('##tr_Q19QZ3_Q19QZ3_HUMAN', 134, 139), ('##gi_38505288_ref_NP_938201.1_', 134, 139), ('##gi_373838798_ref_NP_001243258.1_', 134, 139), ('##gi_373838813_ref_NP_001243288.1_', 134, 139), ('##tr_Q19R10_Q19R10_HUMAN', 134, 139), ('##gi_373838796_ref_NP_001243257.1_', 134, 139), ('##sp_O43497-9_CAC1G_HUMAN', 134, 139), ('##gi_38505278_ref_NP_938196.1_', 134, 139), ('##sp_O43497-13_CAC1G_HUMAN', 134, 139), ('##gi_38505286_ref_NP_938200.1_', 134, 139), ('##sp_O43497-6_CAC1G_HUMAN', 134, 139), ('##gi_38505272_ref_NP_938192.1_', 134, 139), ('##tr_Q19R06_Q19R06_HUMAN', 134, 139), ('##gi_373838794_ref_NP_001243256.1_', 134, 139), ('##sp_O43497-11_CAC1G_HUMAN', 134, 139), ('##gi_38505282_ref_NP_938198.1_', 134, 139), ('##tr_Q19QY8_Q19QY8_HUMAN', 134, 139), ('##gi_373838792_ref_NP_001243255.1_', 134, 139), ('##tr_Q19QZ6_Q19QZ6_HUMAN', 134, 139), ('##gi_373838790_ref_NP_001243254.1_', 134, 139), ('##sp_O43497-8_CAC1G_HUMAN', 134, 139), ('##gi_38505274_ref_NP_938193.1_', 134, 139), ('##sp_O43497-10_CAC1G_HUMAN', 134, 139), ('##gi_38505280_ref_NP_938197.1_', 134, 139), ('##tr_Q19R07_Q19R07_HUMAN', 134, 139), ('##gi_373838788_ref_NP_001243253.1_', 134, 139), ('##sp_O43497-7_CAC1G_HUMAN', 134, 139), ('##gi_38505276_ref_NP_938194.1_', 134, 139), ('##sp_O43497-12_CAC1G_HUMAN', 134, 139), ('##gi_38505284_ref_NP_938199.1_', 134, 139), ('##gi_38505292_ref_NP_938406.1_', 134, 139), ('##sp_O43497-4_CAC1G_HUMAN', 134, 139), ('##tr_Q19QZ7_Q19QZ7_HUMAN', 134, 139), ('##gi_373838773_ref_NP_938191.2_', 134, 139), ('##sp_O43497_CAC1G_HUMAN', 134, 139), ('##gi_20070163_ref_NP_061496.2_', 134, 139)]	72	5.9	8	13	6
8544			[('sp_O15084-2_ANR28_HUMAN', 747, 758), ('gi_304361757_ref_NP_001182027.1_', 747, 758), ('gi_304361760_ref_NP_001182028.1_', 747, 758), ('sp_O15084_ANR28_HUMAN', 901, 912), ('gi_68131557_ref_NP_056014.2_', 901, 912), ('sp_O15084-4_ANR28_HUMAN', 931, 942), ('sp_O15084-1_ANR28_HUMAN', 934, 945)]	144	1e-06	1	12	12
354			[('##sp_Q8N6U8-4_GP161_HUMAN', 422, 432), ('##gi_390190211_ref_NP_001254542.1_', 422, 432), ('tr_F8VS47_F8VS47_HUMAN', 324, 330), ('sp_P51956-2_NEK3_HUMAN', 330, 336), ('gi_225735561_ref_NP_001139571.1_', 330, 336), ('tr_J3KPF4_J3KPF4_HUMAN', 347, 353), ('sp_P51956_NEK3_HUMAN', 347, 353), ('gi_23510391_ref_NP_002489.1_', 347, 353), ('gi_23510393_ref_NP_689933.1_', 347, 353), ('tr_Q6ZN64_Q6ZN64_HUMAN', 351, 357)]	84	1.3	1	10	9
356			[('sp_Q13813-3_SPTN1_HUMAN', 1919, 1930), ('gi_306966132_ref_NP_001182461.1_', 1919, 1930), ('sp_Q13813_SPTN1_HUMAN', 1939, 1950), ('gi_154759259_ref_NP_003118.2_', 1939, 1950), ('tr_A6NG51_A6NG51_HUMAN', 1944, 1955), ('sp_Q13813-2_SPTN1_HUMAN', 1944, 1955), ('gi_194595509_ref_NP_001123910.1_', 1944, 1955)]	144	6.2e-07	1	12	12
358			[('sp_Q9NSJ1_Z355P_HUMAN', 384, 390), ('sp_Q5VZP5_DUS27_HUMAN', 942, 948), ('gi_122937243_ref_NP_001073895.1_', 942, 948)]	84	1.5	5	11	7
8551			[('tr_H7C3H9_H7C3H9_HUMAN', 98, 104), ('sp_Q8TCB7-2_METL6_HUMAN', 191, 197), ('tr_I3L323_I3L323_HUMAN', 59, 69), ('sp_Q59EK9-4_RUN3A_HUMAN', 327, 336), ('sp_Q59EK9-2_RUN3A_HUMAN', 322, 331), ('gi_221307580_ref_NP_001138298.1_', 322, 331), ('sp_Q59EK9-3_RUN3A_HUMAN', 327, 336), ('gi_5730015_ref_NP_006686.1_', 327, 336), ('sp_Q59EK9_RUN3A_HUMAN', 327, 336), ('gi_221307578_ref_NP_001138297.1_', 327, 336), ('tr_I3L2K5_I3L2K5_HUMAN', 231, 241), ('##sp_Q6IV72_ZN425_HUMAN', 737, 749), ('##gi_48717241_ref_NP_001001661.1_', 737, 749), ('sp_Q00839-2_HNRPU_HUMAN', 194, 200), ('gi_14141161_ref_NP_004492.2_', 194, 200), ('sp_Q00839_HNRPU_HUMAN', 194, 200), ('gi_74136883_ref_NP_114032.2_', 194, 200), ('sp_Q8IWR0_Z3H7A_HUMAN', 231, 241), ('gi_27414497_ref_NP_054872.2_', 231, 241), ('sp_Q8WXR4-4_MYO3B_HUMAN', 1256, 1262), ('gi_284172510_ref_NP_001077084.2_', 1256, 1262), ('sp_Q8WXR4_MYO3B_HUMAN', 1283, 1289), ('gi_284172512_ref_NP_620482.3_', 1283, 1289), ('sp_Q8WXR4-7_MYO3B_HUMAN', 1292, 1298), ('##sp_Q9NRL2-2_BAZ1A_HUMAN', 540, 549), ('##gi_32967605_ref_NP_872589.1_', 540, 549), ('##sp_Q9NRL2_BAZ1A_HUMAN', 540, 549), ('##gi_32967603_ref_NP_038476.2_', 540, 549)]	84	3.8	4	10	7
360			[('tr_H7C137_H7C137_HUMAN', 118, 128), ('sp_P43487_RANG_HUMAN', 191, 201), ('gi_4506407_ref_NP_002873.1_', 191, 201)]	132	3.6e-06	1	11	11
362			[('tr_H0YCE2_H0YCE2_HUMAN', 87, 100), ('tr_Q5TB25_Q5TB25_HUMAN', 123, 136), ('tr_Q5TB19_Q5TB19_HUMAN', 136, 149), ('tr_Q5TB20_Q5TB20_HUMAN', 207, 220), ('gi_210147571_ref_NP_001129951.1_', 207, 220), ('sp_Q9BTT0-2_AN32E_HUMAN', 214, 227), ('gi_210147569_ref_NP_001129950.1_', 214, 227), ('sp_Q9BTT0_AN32E_HUMAN', 255, 268), ('gi_13569879_ref_NP_112182.1_', 255, 268)]	168	5.6e-10	1	14	14
363			[('tr_B4E2T8_B4E2T8_HUMAN', 428, 439), ('sp_P27824_CALX_HUMAN', 536, 547), ('gi_10716563_ref_NP_001737.1_', 536, 547), ('gi_66933005_ref_NP_001019820.1_', 536, 547), ('tr_B4DGP8_B4DGP8_HUMAN', 571, 582)]	144	1.4e-06	1	12	12
365			[('tr_J3QQT9_J3QQT9_HUMAN', 8, 15), ('tr_J3KTJ3_J3KTJ3_HUMAN', 8, 15), ('tr_C9JD32_C9JD32_HUMAN', 71, 78), ('tr_B9ZVP7_B9ZVP7_HUMAN', 67, 74), ('tr_J3KT29_J3KT29_HUMAN', 67, 74), ('sp_P62829_RL23_HUMAN', 67, 74), ('gi_4506605_ref_NP_000969.1_', 67, 74)]	96	0.0021	1	8	8
8558			[('sp_Q99575_POP1_HUMAN', 449, 455), ('gi_225007652_ref_NP_001139333.1_', 449, 455), ('gi_225007648_ref_NP_055844.2_', 449, 455), ('gi_225007650_ref_NP_001139332.1_', 449, 455)]	84	3.0	1	7	7
16752			[('tr_H3BTP7_H3BTP7_HUMAN', 130, 140), ('tr_H3BM89_H3BM89_HUMAN', 36, 46), ('sp_P36578_RL4_HUMAN', 130, 140), ('gi_16579885_ref_NP_000959.2_', 130, 140)]	132	1.3e-05	10	20	11
19176			[('tr_D6R9P3_D6R9P3_HUMAN', 180, 190), ('tr_D6RD18_D6RD18_HUMAN', 180, 190), ('sp_Q99729-3_ROAA_HUMAN', 180, 190), ('gi_55956921_ref_NP_004490.2_', 180, 190), ('sp_Q99729-4_ROAA_HUMAN', 181, 191), ('tr_D6RBZ0_D6RBZ0_HUMAN', 180, 190), ('sp_Q99729_ROAA_HUMAN', 180, 190), ('sp_Q99729-2_ROAA_HUMAN', 180, 190), ('gi_55956919_ref_NP_112556.2_', 180, 190)]	84	0.56	9	19	9
370			[('tr_B5MCW2_B5MCW2_HUMAN', 221, 231), ('tr_G5E9G0_G5E9G0_HUMAN', 221, 231), ('gi_76496472_ref_NP_001029025.1_', 224, 234), ('sp_P39023_RL3_HUMAN', 273, 283), ('gi_4506649_ref_NP_000958.1_', 273, 283), ('sp_Q92901_RL3L_HUMAN', 273, 283), ('gi_4826988_ref_NP_005052.1_', 273, 283)]	96	0.01	1	11	10
8565			[('sp_P07814_SYEP_HUMAN', 217, 229), ('gi_62241042_ref_NP_004437.2_', 217, 229)]	156	1.5e-08	1	13	13
374			[('tr_H7C0W2_H7C0W2_HUMAN', 169, 174), ('sp_P15018_LIF_HUMAN', 65, 70), ('gi_4504991_ref_NP_002300.1_', 65, 70), ('tr_C9JEM7_C9JEM7_HUMAN', 115, 120), ('tr_H7C2C7_H7C2C7_HUMAN', 86, 91), ('tr_C9JHL4_C9JHL4_HUMAN', 201, 206), ('sp_P29508-2_SPB3_HUMAN', 49, 54), ('tr_H0YCH1_H0YCH1_HUMAN', 254, 259), ('sp_P29508_SPB3_HUMAN', 49, 54), ('gi_5902072_ref_NP_008850.1_', 49, 54), ('tr_B3KSP0_B3KSP0_HUMAN', 50, 55), ('sp_O75398-5_DEAF1_HUMAN', 377, 382), ('sp_O75398-4_DEAF1_HUMAN', 398, 403), ('sp_Q9H3P2_NELFA_HUMAN', 185, 190), ('tr_H0Y3X6_H0Y3X6_HUMAN', 189, 194), ('gi_194733742_ref_NP_005654.3_', 196, 201), ('sp_O75398-3_DEAF1_HUMAN', 452, 457), ('sp_O75398_DEAF1_HUMAN', 466, 471), ('gi_38016945_ref_NP_066288.2_', 466, 471), ('tr_H3BND8_H3BND8_HUMAN', 776, 783), ('tr_F5H8E5_F5H8E5_HUMAN', 776, 783), ('tr_B7Z815_B7Z815_HUMAN', 859, 866), ('sp_Q93009_UBP7_HUMAN', 875, 882), ('gi_150378533_ref_NP_003461.2_', 875, 882)]	72	5.1	5	10	6
19177			[('sp_P06733-2_ENOA_HUMAN', 147, 155), ('gi_319996655_ref_NP_001188412.1_', 147, 155), ('sp_P13929-3_ENOB_HUMAN', 197, 205), ('gi_301897479_ref_NP_001180432.1_', 197, 205), ('sp_P13929-2_ENOB_HUMAN', 212, 220), ('sp_P06733_ENOA_HUMAN', 240, 248), ('sp_P13929_ENOB_HUMAN', 240, 248), ('gi_301897469_ref_NP_001967.3_', 240, 248), ('gi_301897477_ref_NP_443739.3_', 240, 248), ('gi_4503571_ref_NP_001419.1_', 240, 248), ('tr_E5RGZ4_E5RGZ4_HUMAN', 240, 248)]	108	0.0018	1	9	9
377			[('sp_Q58FF7_H90B3_HUMAN', 214, 228), ('gi_431822406_ref_NP_001258900.1_', 187, 201), ('gi_431822408_ref_NP_001258901.1_', 225, 239), ('sp_P08238_HS90B_HUMAN', 235, 249), ('gi_431822401_ref_NP_001258898.1_', 235, 249), ('gi_20149594_ref_NP_031381.2_', 235, 249), ('gi_431822403_ref_NP_001258899.1_', 235, 249)]	144	1e-06	1	15	14
378			[('sp_Q9H444_CHM4B_HUMAN', 206, 215), ('gi_28827795_ref_NP_789782.1_', 206, 215)]	120	3.6e-05	1	10	10
382			[('tr_B4DHG0_B4DHG0_HUMAN', 61, 67), ('tr_E9PEX6_E9PEX6_HUMAN', 137, 143), ('sp_P09622_DLDH_HUMAN', 160, 166), ('gi_91199540_ref_NP_000099.2_', 160, 166)]	84	0.54	1	7	7
